date,count
2011-12-05,39184
2011-12-06,39498
2011-12-07,36999
2011-12-08,35150
2011-12-09,37621
2011-12-10,27284
2011-12-11,26871
2011-12-12,38739
2011-12-13,35649
2011-12-14,36694
2011-12-15,38644
2011-12-16,38686
2011-12-17,25237
2011-12-18,28149
2011-12-19,37706
2011-12-20,35812
2011-12-21,33484
2011-12-22,33179
2011-12-23,29274
2011-12-24,17826
2011-12-25,15500
2011-12-26,19835
2011-12-27,26668
2011-12-28,27441
2011-12-29,31821
2011-12-30,29386
2012-01-01,19329
2012-01-02,28956
2012-01-03,34761
2012-01-04,30707
2012-01-05,35956
2012-01-06,36900
2012-01-07,27551
2012-01-08,27530
2012-01-09,31794
2012-01-10,32533
2012-01-11,42617
2012-01-12,38276
2012-01-13,37533
2012-01-14,29033
2012-01-15,32713
2012-01-16,39683
2012-01-17,39511
2012-01-18,38483
2012-01-19,39168
2012-01-20,36823
2012-01-21,29648
2012-01-22,28889
2012-01-23,38446
2012-01-24,41844
2012-01-25,42201
2012-01-26,41900
2012-01-27,43829
2012-01-28,35897
2012-01-29,37570
2012-01-30,44392
2012-01-31,49406
2012-02-01,47144
2012-02-02,41920
2012-02-03,41711
2012-02-04,29319
2012-02-05,36537
2012-02-06,36670
2012-02-07,38320
2012-02-08,40416
2012-02-09,41608
2012-02-10,37883
2012-02-11,31166
2012-02-12,35698
2012-02-13,33960
2012-02-14,41573
2012-02-15,33990
2012-02-16,42061
2012-02-17,42872
2012-02-18,32991
2012-02-19,38618
2012-02-20,43333
2012-02-21,51928
2012-02-22,55257
2012-02-23,54245
2012-02-24,51380
2012-02-25,38833
2012-02-26,41624
2012-02-27,54127
2012-02-28,56258
2012-02-29,54626
2012-03-01,45647
2012-03-02,47252
2012-03-03,37344
2012-03-04,30820
2012-03-05,46899
2012-03-06,56208
2012-03-07,54265
2012-03-08,53048
2012-03-09,51325
2012-03-10,10595
2012-03-11,31721
2012-03-12,54366
2012-03-13,55655
2012-03-14,52683
2012-03-15,53591
2012-03-16,51416
2012-03-17,36361
2012-03-18,39305
2012-03-19,54062
2012-03-20,56562
2012-03-21,56266
2012-03-22,56815
2012-03-23,53485
2012-03-24,38814
2012-03-25,40740
2012-03-26,55577
2012-03-27,55831
2012-03-28,57399
2012-03-29,57848
2012-03-30,54315
2012-03-31,38989
2012-04-01,40841
2012-04-02,52777
2012-04-03,56505
2012-04-04,56240
2012-04-05,53599
2012-04-06,49771
2012-04-07,38569
2012-04-08,38688
2012-04-09,51722
2012-04-10,58133
2012-04-11,60091
2012-04-12,56717
2012-04-13,54174
2012-04-14,40653
2012-04-15,43850
2012-04-16,57889
2012-04-17,59264
2012-04-18,59768
2012-04-19,61096
2012-04-20,57353
2012-04-21,42127
2012-04-22,47832
2012-04-23,61178
2012-04-24,63056
2012-04-25,59519
2012-04-26,60229
2012-04-27,56279
2012-04-28,40937
2012-04-29,43072
2012-04-30,54393
2012-05-01,55402
2012-05-02,58855
2012-05-03,60150
2012-05-04,56518
2012-05-05,41637
2012-05-06,42295
2012-05-07,58594
2012-05-08,59812
2012-05-09,59221
2012-05-10,59255
2012-05-11,55078
2012-05-12,39516
2012-05-13,39486
2012-05-14,57335
2012-05-15,59138
2012-05-16,57222
2012-05-17,54823
2012-05-18,52928
2012-05-19,35675
2012-05-20,39109
2012-05-21,56131
2012-05-22,61615
2012-05-23,61231
2012-05-24,60085
2012-05-25,56719
2012-05-26,35629
2012-05-27,37717
2012-05-28,49520
2012-05-29,59838
2012-05-30,61193
2012-05-31,55313
2012-06-01,55330
2012-06-02,39247
2012-06-03,42983
