Date,Closing Value,Return
12/30/1927,17.66,
12/31/1927,17.66,0
1/3/1928,17.76,0.005662514
1/4/1928,17.72,-0.002252252
1/5/1928,17.55,-0.009593679
1/6/1928,17.66,0.006267806
1/7/1928,17.66,0
1/9/1928,17.5,-0.009060023
1/10/1928,17.37,-0.007428571
1/11/1928,17.35,-0.00115141
1/12/1928,17.47,0.006916427
1/13/1928,17.58,0.006296508
1/14/1928,17.58,0
1/16/1928,17.29,-0.016496018
1/17/1928,17.3,0.000578369
1/18/1928,17.26,-0.002312139
1/19/1928,17.38,0.006952491
1/20/1928,17.48,0.00575374
1/21/1928,17.48,0
1/23/1928,17.64,0.009153318
1/24/1928,17.71,0.003968254
1/25/1928,17.52,-0.010728402
1/26/1928,17.63,0.006278539
1/27/1928,17.69,0.00340329
1/28/1928,17.69,0
1/30/1928,17.49,-0.011305822
1/31/1928,17.57,0.004574042
2/1/1928,17.53,-0.002276608
2/2/1928,17.63,0.005704507
2/3/1928,17.4,-0.013045944
2/4/1928,17.4,0
2/6/1928,17.45,0.002873563
2/7/1928,17.44,-0.000573066
2/8/1928,17.49,0.002866972
2/9/1928,17.55,0.003430532
2/10/1928,17.54,-0.000569801
2/11/1928,17.54,0
2/14/1928,17.44,-0.005701254
2/15/1928,17.4,-0.002293578
2/16/1928,17.35,-0.002873563
2/17/1928,17.04,-0.017867435
2/18/1928,17.04,0
2/20/1928,16.95,-0.00528169
2/21/1928,17.11,0.009439528
2/23/1928,17.13,0.001168907
2/24/1928,17.18,0.002918856
2/25/1928,17.18,0
2/27/1928,17.11,-0.004074505
2/28/1928,17.16,0.002922268
2/29/1928,17.26,0.005827506
3/1/1928,17.3,0.002317497
3/2/1928,17.3,0
3/3/1928,17.3,0
3/5/1928,17.57,0.015606936
3/6/1928,17.67,0.00569152
3/7/1928,17.58,-0.005093379
3/8/1928,17.64,0.003412969
3/9/1928,17.93,0.016439909
3/10/1928,17.93,0
3/12/1928,18,0.003904071
3/13/1928,17.92,-0.004444444
3/14/1928,17.93,0.000558036
3/15/1928,18.07,0.007808143
3/16/1928,18.26,0.010514665
3/17/1928,18.26,0
3/19/1928,18.36,0.005476451
3/20/1928,18.46,0.005446623
3/21/1928,18.65,0.010292524
3/22/1928,18.6,-0.002680965
3/23/1928,18.78,0.009677419
3/24/1928,18.78,0
3/26/1928,19.05,0.014376997
3/27/1928,18.94,-0.005774278
3/28/1928,18.89,-0.002639916
3/29/1928,18.95,0.003176284
3/30/1928,19.28,0.017414248
3/31/1928,19.28,0
4/2/1928,18.91,-0.019190871
4/3/1928,19.02,0.005817028
4/4/1928,18.99,-0.001577287
4/5/1928,19.23,0.012638231
4/9/1928,19.27,0.002080083
4/10/1928,19.1,-0.008822003
4/11/1928,19.44,0.017801047
4/12/1928,19.41,-0.00154321
4/13/1928,19.73,0.016486347
4/14/1928,19.73,0
4/16/1928,19.68,-0.002534212
4/17/1928,19.52,-0.008130081
4/18/1928,19.52,0
4/19/1928,19.63,0.005635246
4/20/1928,19.34,-0.014773306
4/23/1928,19.15,-0.009824199
4/24/1928,19.25,0.005221932
4/25/1928,19.33,0.004155844
4/26/1928,19.47,0.007242628
4/27/1928,19.68,0.010785824
4/28/1928,19.68,0
4/30/1928,19.75,0.003556911
