S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26
54879,26368,41837,16670,45094,20187,26582,39648,34685,51785,32012,445026,86989,66985,29521,43299,26284,42416,14502,18532,33473,47695,37001,67633,207985,132815
40860,28045,29831,26558,37703,23094,12739,32510,17403,33656,19498,289235,65875,57605,23188,42711,22583,37690,18833,14197,31957,40387,33027,49417,194167,103466
139264,59726,148346,68194,147536,62463,36101,65411,94083,84467,48031,867953,296024,76798,41258,109236,54354,106225,35172,30265,56573,91640,58006,106651,301129,279588
55460,27695,73410,48435,45914,30500,15586,34403,75489,87039,73232,627944,346215,53671,30622,40232,31145,40909,20607,21458,51236,52110,37479,57837,240776,158157
39453,33182,30322,14647,34511,18575,15910,33098,18546,36245,19980,288326,62809,40173,19961,33623,18846,37421,12014,15029,48067,33407,31489,51054,174772,110911
81234,51077,39934,48636,80474,33878,41130,112523,31916,58761,51094,573638,168143,61323,41558,52863,27609,53733,17953,23260,80849,56169,43312,85133,271930,158498
90149,65755,63768,49224,66530,38600,31383,117000,59299,117572,99692,501403,195542,64052,31802,64242,26698,48528,28126,28019,53438,58468,50039,88035,290061,174090
67623,76665,39041,79676,95583,20569,18078,26997,64245,41092,29002,602467,138810,62434,31655,49153,25650,49149,19696,18178,35069,53339,39214,68153,269776,165379
191442,130071,163850,122755,239658,53743,50392,136239,102678,147932,179396,1670828,517186,99078,57921,96422,60167,92828,31982,34707,66703,103817,74202,221487,463767,319414
189850,30408,75890,116093,54935,34372,25163,62604,95997,123036,75503,1024881,177805,90568,39575,58168,55094,75813,32226,29424,56885,89973,60104,88557,311301,204818
34592,13713,18757,3083,29498,23189,23046,39279,16701,33544,11431,326547,57189,54997,20174,34688,11016,40720,18610,13081,41768,38038,25092,57881,182037,91292
51518,26775,50756,7572,30433,28263,49202,56687,27851,41831,33598,570074,58869,57204,25547,46985,19617,42417,27289,22532,53275,45220,32725,64265,214892,112672
64365,28476,50082,11560,68427,22302,52984,37605,34044,52762,31468,496331,78250,76688,32198,50208,29216,51378,20848,22657,38803,62864,43123,74764,235622,136562
50965,36964,37033,16582,67565,36365,15915,34337,30789,41316,18878,379240,59860,53268,25584,57417,25769,55224,24190,15577,35208,53652,34998,61048,216195,135793
163213,54455,201400,129629,199297,83157,40047,68934,118967,99181,74925,919930,332732,99871,51546,125428,71224,145559,47949,37372,52406,108695,77277,148902,399705,324447
74615,27974,69336,42201,58314,41281,15308,33432,72951,103363,43985,674082,364218,50573,37807,44758,32501,64211,24930,15191,39584,63270,39845,69981,286816,189807
43900,26700,41396,20952,30829,22400,14749,38677,32361,39062,19177,363536,108561,44603,26263,55072,23177,45956,11878,17596,44703,43801,35626,59557,220658,127535
100011,60061,47209,51475,84199,39880,38979,117675,43499,63181,83839,677593,152161,79614,42557,50798,33739,62258,24522,25355,89000,55142,52912,99572,311778,181548
98005,113979,34845,55660,62880,43092,41637,123674,85479,103886,81430,559373,262863,72654,42321,49838,39225,66762,29749,37376,54434,70070,50166,85865,322462,198398
65677,53152,48630,64873,111491,28207,20053,33045,60111,55635,29323,638259,134331,69379,32967,49591,27788,74383,27089,12200,45628,61634,45425,70258,315475,192093
325038,159600,194304,174510,294611,85913,50639,139139,173233,217645,208444,2157414,561493,149442,74822,115415,86486,121902,48282,43846,83517,144067,101897,170437,585159,388532
169185,28230,52647,81865,48966,36103,24607,76484,67114,89699,67385,830143,174776,77194,35524,42119,43793,80949,28030,16004,56722,75088,43325,87650,317558,182117
35420,12745,34432,5711,25977,28196,21764,38638,19993,29546,15087,399350,54796,62434,21716,32292,16176,57221,24443,17388,44237,47122,34238,61799,216562,105485
71922,22129,61779,11772,60795,43760,48096,52460,31212,65123,18193,540738,98975,73133,28282,44901,27574,59910,31142,14971,61068,56563,45492,66868,237582,132578
59300,27261,48978,9769,61802,38063,49771,36599,43140,37358,31885,544603,71605,78073,34797,40883,31696,59455,26948,15549,40297,64523,39192,74487,243612,146888
44712,16830,37754,35127,58176,39003,29958,44204,39092,43300,23729,460605,71337,59607,26864,47449,31485,69777,29909,14787,41647,59516,38602,69658,252705,151308
190975,87422,169482,120005,198795,95099,44989,73849,148332,127338,103375,947773,303674,107434,48082,121251,76510,170735,60559,33241,61255,120155,85285,104865,430213,341451
77202,29934,59505,76624,66730,45487,11631,39272,79945,86802,79168,719836,389634,57000,39944,43944,37121,76551,21228,15768,42540,72283,49136,81703,321351,205167
52932,17013,32957,36845,35608,32224,15907,42454,27005,51308,19229,477749,120122,54284,30067,35457,25444,54649,20299,16325,46596,45363,44689,69831,242597,136964
135349,62697,55040,53865,91766,53965,50920,128562,79061,124451,77770,790938,201128,102888,52799,66689,46865,86816,34453,30486,90996,81254,72323,129745,363085,214572
93570,110153,26484,35284,61086,39429,32351,134926,79305,98142,70949,644956,259109,73365,43686,48238,41142,67514,27887,21164,61504,59032,50870,90594,346135,198409
71990,40050,54932,89678,82466,31150,20168,48473,64724,73459,49116,793199,200614,84597,39659,56670,30770,80673,31100,23455,49316,74202,55925,89969,357999,200052
391090,160019,206272,193529,360872,113576,60766,188509,243931,246843,285987,2249089,592075,176899,79073,125879,103097,145076,67068,49482,92207,173278,131669,259738,654869,429977
158977,24720,48542,49851,63447,33367,23162,83630,58727,91858,65449,873600,131756,76387,36141,39558,34356,80971,23895,12340,62521,80679,44680,82585,343974,185387
